Site,Place,Latitude,Longitude,Year,Microplastic_Level,pH_Level,Temperature
Sampiruhan,Sampiruhan,14.4,121.1,2018,909.546,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,3534.516,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,964.883,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2226.053,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,3534.34,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,865.121,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1218.148,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1690.229,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1258.276,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,577.851,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,800.709,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1489.505,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,889.471,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1427.819,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,3219.77,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1577.575,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1847.841,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,600.119,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,760.976,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,285.207,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,722.113,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,3646.772,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1497.859,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,721.906,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,806.122,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2971.408,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2935.775,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2683.271,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2181.934,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,781.146,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1544.374,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2249.506,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1536.001,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1153.596,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,832.528,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2245.021,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1202.512,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1586.16,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1619.353,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,3503.829,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2592.705,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1069.132,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,869.525,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1641.702,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,4309.271,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2046.912,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,788.482,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1903.195,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,4499.087,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1725.679,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2167.4,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,680.185,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,4503.761,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1070.668,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,3678.77,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,729.871,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1295.597,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1594.783,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,963.472,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,846.461,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2075.739,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2542.035,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,824.858,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1820.761,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,557.733,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1171.212,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1537.847,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1789.928,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1382.165,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2094.318,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1045.226,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1589.458,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,879.632,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1616.807,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1589.142,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2735.031,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1665.53,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1410.261,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1166.554,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1614.057,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,992.598,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1616.174,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,840.167,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1309.199,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1659.595,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,1315.435,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,2180.117,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,706.364,,
Sampiruhan,Sampiruhan,14.4,121.1,2018,4649.574,,
